judul,url,sumber,tanggal,ringkasan,keyword,metode_scraping,konten
"5 Aturan Baru Padel di Jakarta, Lapangan Baru di Perumahan Dilarang - detikNews",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNckN4NGZGV3FtRV9Mb2t2Rm5mNmZiWkJ0U0dRRlNtUUoyMmlLdjRkRG43ZVpUY3VnZGdPSldVMVRWNTZIRnBpVEhnSGRhanROUWkxN09CLXlKOVpMVk9ucnVpb0RqbG40aVdIU1pDLWpNdWF4UWtRZzNXVFpON0pXMEJWRGJ2LUw1WEl3WXN3US1TaGlFWS1ETU4tbFhEREk0NzdrbExweE12Z9IBrwFBVV95cUxQY3NMSVdpZmVoMWp4Rzk4R0I0cmgwdDNXWi1oTExsSHVNTmF4MG0taUJzckxIVlQyUDNkdnpib2hXLTBiS0w1aG1fSFJWYk5TSHlwLUtXR3NrMWFTWHM3S2FxM0Y2ZUxYT0dwMEhLSzQ1Wk9nVTY1dnVQT1NtWXc4dm9yYmEtbnpMZEd0UDd2eDJVWEN0ZnNoQ0RRYzlzYmxYY3c5bGNhLUVPQVJSTFhN?oc=5,detikNews,2026-02-25 00:34:53,"5 Aturan Baru Padel di Jakarta, Lapangan Baru di Perumahan Dilarang&nbsp;&nbsp;detikNews",padel,google_news_7d,"5 Aturan Baru Padel di Jakarta, Lapangan Baru di Perumahan Dilarang&nbsp;&nbsp;detikNews"
Pemprov DKI Melarang Lapangan Padel Dibangun di Kawasan Peru - Tribrata News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOWGdqX1VPUGVPUkZMUzJ5RXdQd1RIcHNJTXFNeGpuOGFIenBsTUpVOWxEaFZrYjBYd3Z0MzV1VHZwUTRadkNRQXQwclFtNkpjNE9oalU1QjVPS20waE92VG43aUxVdDRabGUyS21CdnNXc1hXZmF1SzVPaUVHeXpRSGlxM2RLZ2swUFNKUlE3ZUFSUEN0ZWNwZlBQT1NFWjVqenRrWkx5SmNWZVNqSG5leHdubDFkM1Q3R0xMQktldmdhUWM?oc=5,Tribrata News,2026-02-24 07:33:00,Pemprov DKI Melarang Lapangan Padel Dibangun di Kawasan Peru&nbsp;&nbsp;Tribrata News,padel,google_news_7d,Pemprov DKI Melarang Lapangan Padel Dibangun di Kawasan Peru&nbsp;&nbsp;Tribrata News
Pihak RT Ungkap Awal Mula Keluarnya Izin Lapangan Padel di Pulomas - kumparan.com - Kumparan.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxNSWxoOWpFb29WcUlOMFRnVm5BVzFzSGRld0xpaUJvTkswLWVpZ3RhVW95Smlyd3lwYksyaVVPZmJJM1ZtQjlqR003RmNBWE53RF8yZXVRNFFHODNyckVUb3gyZWZ4eVFQMUp6UFA4eEFnczBLdjI5MmgxUW5BVHlfQnVvUFhRYV96bkFPdThTTWxDMXF1SlF6SkZocGJXbGwtVW5sem1Dc0RYSjJhNmhjTGZB0gG6AUFVX3lxTE83WF92TXdlQVFwM2N0cVM3N0Y3S2UtQWd0cnRWbGFWdlhCUVAxQWFHYWVFV0VxWUx4U2VYQlBJQUxZWlN2aURkRGEtZFJ6UU1wY2NtVHZFeWxoV09LMjFGa0NkZUtwMnVWYUpUWkcydEFpb3pWajJwLUw5c2FqN3pjZWc5aFJoMG4yTnp1dzlyVjE2TmVLMFlYWjdES0Y1djZCTHRMSVNUNklWaW1oblRmQmx1eGhBbmtCZw?oc=5,Kumparan.com,2026-02-20 11:07:00,Pihak RT Ungkap Awal Mula Keluarnya Izin Lapangan Padel di Pulomas - kumparan.com&nbsp;&nbsp;Kumparan.com,padel,google_news_7d,Pihak RT Ungkap Awal Mula Keluarnya Izin Lapangan Padel di Pulomas - kumparan.com&nbsp;&nbsp;Kumparan.com
Duduk Perkara Protes Warga soal Lapangan Padel di Cilandak - Tempo.co,https://news.google.com/rss/articles/CBMimAFBVV95cUxPVXhseGRKSlp5OUtjMDVtVDB6QmZHZU5OekhOWVI0QlBHS2ZqMjN2Y3EwTmlQZWxvdlRrcmF0ZjZYV3dwcHFadU11Qm9pMlZPVzZyOG1pS3NLMUdMM0paVDlobl83bUN5RTlMMGxubDJwenV0aFdPUTEtQ1pfcWM5XzNuMzZITEJ6TzFBU1cwYXNFNmtPX1hpMw?oc=5,Tempo.co,2026-02-21 08:32:25,Duduk Perkara Protes Warga soal Lapangan Padel di Cilandak&nbsp;&nbsp;Tempo.co,padel,google_news_7d,Duduk Perkara Protes Warga soal Lapangan Padel di Cilandak&nbsp;&nbsp;Tempo.co
Pramono Larang Pembangunan Lapangan Padel Baru di Kawasan Permukiman - Beritajakarta.id,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPdHMxQU9DdUZUUVVBR3dIYmtOdko4d2twOW1mSFl6LUhwMFpsaFJuT09pYnhrMHhFRzV2TGx4OHdYdTZhMjBWXzJsRXgzQ2VqRl9GMmN5TjVUUUZ1QmFBOXdCT2R4VFNKTC1DTDZ1cy11dEk5NkU3QkZSUXkwcnFoVGNoSWVWZzhYTHk2dXI1OWR5YndFQ2htNnFSQlUzSzZVUEx2eXFIOENnM0E?oc=5,Beritajakarta.id,2026-02-24 05:03:44,Pramono Larang Pembangunan Lapangan Padel Baru di Kawasan Permukiman&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Pramono Larang Pembangunan Lapangan Padel Baru di Kawasan Permukiman&nbsp;&nbsp;Beritajakarta.id
Pemprov DKI Larang Pembangunan Lapangan Padel di Pemukiman - Hukumonline,https://news.google.com/rss/articles/CBMisgFBVV95cUxNMFJwRndmSjIwRzdYVlp3SEFtZWkwc05TMl9ub05HRnVZRl83QWNLXzgzbm52dlhxNXZ5U1Rnbm1oblF5WFdjM2NTeklIWkxqdnFyVmZJeFE5TXViVzBkVks5cUNCU2t1QS10ZWp4d29zTktkNWZ2S1ZGb3JOZ05fWkZzTUNnMVM5amRXSlpKTWI5Y0lmWm5TZUFfdmV0UDFodTZDUEEtWEFHaGlPOUt3UVhn?oc=5,Hukumonline,2026-02-25 03:24:22,Pemprov DKI Larang Pembangunan Lapangan Padel di Pemukiman&nbsp;&nbsp;Hukumonline,padel,google_news_7d,Pemprov DKI Larang Pembangunan Lapangan Padel di Pemukiman&nbsp;&nbsp;Hukumonline
"Pramono Batasi Operasional Lapangan Padel, Maksimal Jam 8 Malam - CNN Indonesia",https://news.google.com/rss/articles/CBMixAFBVV95cUxOTVVwaDNCUWVQSjFQVlZhaFptcEl1OGZxMlI1N3A1V2xnMnUweHVWb2phUTlKTl9JSDRRT3NwMlAwNnlVdkJkMFRtS2dnVEZDU1lNUnptQmFOcG1US1BaZTQwVElWSjdLcDhYLVVmay1IX0FXaEtjQ2dodVhQeU1pT1RQRzJrdmw4eFd5YnQ0NlJhZS14LWF6cnpvbERzM3FhX1Q1QnJpLUZHckstbXBockJCRXROb21yQjZjUkpFV2FuN2tG0gHKAUFVX3lxTE5MRFpELWVySGlxaFpmcUc4cnkzWVN2R2tyZUg5c2FkdzExNzJfeTFzOElZekc0ZExfTjdBaUJYRGUwZEo0WThyZG9BbGN2XzJXN1NnTW56aC1GU0ZvdWpNdkJlSC16S3lnbV9ZUm1aN0RJM084ZTZfZFZiekdZdGczS01YY0g1SlRfcUF2SmZUaG1YYTVnMFRBMjNwM0ZUVC1QMndJYXlaY0s2ZUVaelFRZGVzSkg2RVVBLWN2SnlteUVZWlp4cWdvNnc?oc=5,CNN Indonesia,2026-02-24 05:13:33,"Pramono Batasi Operasional Lapangan Padel, Maksimal Jam 8 Malam&nbsp;&nbsp;CNN Indonesia",padel,google_news_7d,"Pramono Batasi Operasional Lapangan Padel, Maksimal Jam 8 Malam&nbsp;&nbsp;CNN Indonesia"
Mengapa Gubernur Jakarta Melarang Izin Lapangan Padel di Permukiman? - Kompas.id,https://news.google.com/rss/articles/CBMingFBVV95cUxNRHhyN3FjamRVNkYxVzAtTHlQV2E4TGUyNWhxTVhpUUx1UV85OGl4WmxsUGd0YlNSYWg2aEJvVEpKUTItZVFZaWVfb1ZMZDFBQlhmUUJKaTRGWVVtZjZoR3JkTWc5MkxfdjlLMmc3UWMyc2dGdzBxbnlOYy1WenhHbUpYUzYxMWU1SGZoV1dIOFVKX0p6MnhIZ3RESWQ4dw?oc=5,Kompas.id,2026-02-25 01:00:00,Mengapa Gubernur Jakarta Melarang Izin Lapangan Padel di Permukiman?&nbsp;&nbsp;Kompas.id,padel,google_news_7d,Mengapa Gubernur Jakarta Melarang Izin Lapangan Padel di Permukiman?&nbsp;&nbsp;Kompas.id
"Dikeluhkan Warga Jaksel, Begini Kebisingan Padel yang di Atas 55 dB - detikNews",https://news.google.com/rss/articles/CBMiqgFBVV95cUxObDdpeGV6ZmNYQVY4LXZUYkhKajh5YXBwb083aS1TaTlYQ1phdmZIUUZqbXpucDFmTVAyRHQxVlk1b0hKLTlMbURpcWt1QTljU2djTTdMUUg2akRuR25xaFRiMUgyNUJQMzVjb0xpZ2ZCYmFvT1puQmVCUkN0WVczTHVxeC1tR0I0UUhfbzl2b29abTNWdWxzWlRtTjdVa1VvVU9lQ0hJRkJkd9IBrwFBVV95cUxOa0ZDUFRSTFRlbDR5OWlrWGxUeTdMd1dZZTZwMEh6WW9saGd6ekNBY2podEJlcVhpT3hSaERHeUN2azNzOXNyM0Q1S1NGQXlDRDRob1hWQVhIVEhXalhPWXdBRTFyVDlOQmI5ZVBHOWtDNjJGcWZTeDhrUmNqTkhOaVhMclJ4MGdITTRlUG9VSEJLZ0xRYXVzYU5iN21NVXNEbXpRSjc5WVVid3E4MXZz?oc=5,detikNews,2026-02-19 10:07:24,"Dikeluhkan Warga Jaksel, Begini Kebisingan Padel yang di Atas 55 dB&nbsp;&nbsp;detikNews",padel,google_news_7d,"Dikeluhkan Warga Jaksel, Begini Kebisingan Padel yang di Atas 55 dB&nbsp;&nbsp;detikNews"
Penataan Padel Dinilai Perkuat Iklim Usaha dan Ketentraman Warga - Beritajakarta.id,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPSlRJeDdweGQtYUtMRnVWalFGZGxWQ2dTNTBtVm5ZRG13c2JKS1ZPckpsMVZ0ZUVLdTJJNmNNWk0zTFExUHUyekk0aUpEOEVRMWNlRi1ibXJkSV85a3hMcGdSS18wVmNiRTFNdWp3cHA2YnZ4dU5xcDdvdjBWTm14aG1RSUVWQVI3V2FHaklnT3l1LWliWE1ZTWZjTjBscWJqZWlPeEJTc2RQNE1zcXFoVkNRUVU1cWxrTDZ3?oc=5,Beritajakarta.id,2026-02-25 00:05:00,Penataan Padel Dinilai Perkuat Iklim Usaha dan Ketentraman Warga&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Penataan Padel Dinilai Perkuat Iklim Usaha dan Ketentraman Warga&nbsp;&nbsp;Beritajakarta.id
