judul,link,portal_berita,sentimen_prediksi,confidence,label_manual,text_berita_clean
"Riset: Laju Properti 2026 Moderat, Lapangan Padel Justru Meningkat - CNN Indonesia",https://news.google.com/rss/articles/CBMixgFBVV95cUxObkltV0tVYmllSUhLMDh1MDNIeWJPc01NcmhjTkR6eVRQdFRQTG56cmp3Q05zcEdDZzFXd1lRNVZScnhvYml3TDhGbDhod2xnOHlIb2FMUUpIQXBqNkVJSS1BYWg2bTRLUmtvT1pncVNKcXVza1Q3em9abFFkNVZpT0tuc2lrREg1TXVWdmNta2Vtbm5Yb0MzcHQzblJzNmxLWUZ3WkZleHZGQzJwT3E1ZVFoU0NfNHVMWElESld0TXdETkhTeGfSAcsBQVVfeXFMUDRpOVhTaTk0MFRxZUx1aEhtMWE5RGtGTjlaRWp3b1pVTTN1SVdQSk5keTltdkpKV0gxd0pnY1RoZVBuUV9TNUY1TmhuX3NBU0JFWEJoaEZqbXZFMVZGZHFKb0FrUThyYlFQTkdfV3hxaHkxWEktLVVjVnB5dVhSdC1hTGZleHNBODJwZVFaRVdzOWJ5RlRyRFgtc1ZmUW9GZXlyUVdfSnd5NVJlM0xCOXNTZURPVlZtQWY4UXRfT0xQMlJGcktMZk9Sb2c?oc=5,CNN Indonesia,Netral,0.9966089725494385,netral,riset laju properti 2026 moderat lapang padel tingkat cnn indonesia
Berapa Biaya Bangun Lapangan Padel? Ini Rinciannya - Bloomberg Technoz,https://news.google.com/rss/articles/CBMiowFBVV95cUxPNmt3SUMyUkFYY1NoTWRMVUNuX1pibDkyWUJGd3pFdUpFZlBZenh4QnJzcDVUNGZjNGxIelFXSjQ5UlZSakZkalpJdFdseU9KMFdXUDRmSW5RT1dVd0ZfVERqWGdxT2N3Y0lBTkFzVFB0OE9TUXNPVS1UOEQycWVZRHY3YkpIVVAzRUlDX2JURmVtWFVQcm5YdzUwclkyWm42UHFn?oc=5,Bloomberg Technoz,Netral,0.9998817443847656,netral,biaya bangun lapang padel rinciannya bloomberg technoz
"Maple Padel, Lapangan Padel Rooftop Pertama di Jateng - RRI.co.id",https://news.google.com/rss/articles/CBMiYkFVX3lxTE43SFJaekkyVTF1LWcwQ29Lek1NMk9adWtGb21IdE51TV9JR1V3aEQ3S2VTOFFKdk92WlhhOFNvQ2hkbnhSWkVzU3BfZHRNRG95VTk5UkJPcVJVX29CWC1Zbjln?oc=5,RRI.co.id,Netral,0.9995719790458679,netral,maple padel lapang padel rooftop jateng rri co id
Pramono Resmi Larang Pembangunan Lapangan Padel Baru di Zona Perumahan - CNN Indonesia,https://news.google.com/rss/articles/CBMizwFBVV95cUxPNTF0ZXFRS3FnRlpUOGlfSjV6SGFoNDJjakpNZWdFZ1A4NkVVaDBLN3ZKZVppaFY4TXM0LXBDcDJoNVZUNkEybGJXeUlobjFRNnNHUk15c1FUbTZ4eEdCYVJRUTZBMm5nX0ZRbXJuRU9ZMzAwRDFEbjdqYWhWc2FEQUx1Rk81Zm9rLWtQM3JNeTFsbndpQ3RaS21pNFlaNnNkZzYzckVsbGh5clZqS255MVNsWUtZemx6UFRLcnZ6QlQ1b2p3TTgweWlPQjF1UTjSAdQBQVVfeXFMUGdMbXBMZWw5Q3VQeE1aZlpMck9MTzBrSHROWUhnZDRuSlk2QVE3S3l5ZnlCeEp2N3JyTWlFRFJLc1ZzNGN2RzBTR1BybVVBaXF1WEpmejhveFRyRURwVmRqbkRCZXFQU1FZa1ZQR05PV2hsa0pBaE1Ic3AxZi1nZUsxdHVYYVo0QURheWFIM1Nxb1N6VmxiS3Y2UlBqTUxwRXdwV3F0aDBqNUpWallhRFZPSUk4a1Y1N2V3VEVhTHl1V1NfMVVka2c3TmtRZ2MyWDRYRjM?oc=5,CNN Indonesia,Negatif,0.9995899796485901,netral,pramono resmi larang bangun lapang padel zona rumah cnn indonesia
Baru Pertama Main Padel? Ini Cara Bermain yang Gampang Dipelajari!,https://sport.detik.com/sportstyle/d-8174724/baru-pertama-main-padel-ini-cara-bermain-yang-gampang-dipelajari,Detik.com,Netral,0.9942797422409058,positif,padel olahraga viral gari indonesia cinta olahraga lapis masyarakat jenis main seru main pasang padel teknik main sederhana gampang ajar mula padel olahraga format main rumit banding tenis atur dasar nilai skor main padel pegang raket posisi main teknik servis detiksport rangkum main padel ajar mula yuk simak selesai atur dasar tentu laku olahraga padel paham main sportif atur dasar main olahraga padel atur dasar main padel tips laku kalah telak tanding tips main padel ajar mula moga ajar olahraga -- tulis salamah harahap serta magang
"Prediksi Dokter Timnas soal Tren Padel dan Lari di 2026, Masih Tetap Populer?",https://health.detik.com/kebugaran/d-8285100/prediksi-dokter-timnas-soal-tren-padel-dan-lari-di-2026-masih-tetap-populer,Detik.com,Positif,0.9986627101898193,positif,popularitas tren olahraga padel lari tingkat 2025 lapang padel tumbuh pesat kota lari kian ramai komunitas event skala internasional popularitas fenomena fomo fear of missing out tahan 2026 spesialis bugar emc healthcare dr anita suryani spko nilai padel lari peluang mati dinamika beda coba serius advertisement beda tren olahraga musim padel nilai modal kuat tahan dukung infrastruktur lanjur bangun lapang padel banget sih 2026 tahan turun dr anita bincang rabu 24 12 2025 bikin lapang padel bikin promo tahun booking kantor bayar penuh bayar udah mesti kayak olahraga long lasting sambung beda padel lari dr anita tren pandemi covid-19 titik tingkat sadar masyarakat olahraga sadar olahraga tingkat covid nambah berat gila banget covid sehat lifestylenya tuju lari gak pakai alat gak pakai ribet-ribet rame-rame pakai baju gitu gak alat tutup tambah tingkat eksposur event world major marathon picu motivasi masyarakat
"Jambi Punya Lapangan Padel Pertama, Siap Cetak Atlet Berprestasi di Kancah Nasional - https://jambiekspres.disway.id/ - Jambi Ekspres",https://news.google.com/rss/articles/CBMizwFBVV95cUxQdlNtenlFSF9UWVREUy1rYWRucGN3czFZdFhOdDB3U1JscmUwV1pKYldLNl9qcWt6a21Nc1FLOUQzYVZXSFB2TlZ5alc5XzRCT3pmVWRwVGFwaVVPOWJKbVZsUEpCc2VkS194XzYyNUJkVjlaM3l5ZWp6cDBlS211Sl8yamo2T1RHWlZMQUlUcmhCX3ZTNW1xQVhJMUgzZ21WcGRJRG9UakhueXN6a3c1Z1lPbmptaUtlVUQ4aVpTUnN1cDJhaGh0NUU0WkNtbUnSAcIBQVVfeXFMT0FXQ0NBeElWX1dveGFPVk1FRUg3bGYzekwwbFI0SHFORWZCbHJTRU9jOFVlZ0l6b3dYQ0taSmFGZjFPNjVmb0xaenlDMUU0RURNVUhQVm5sRXRMZEVlN1pTOHBVbzJQYnZMb0lWUmxQRmFzTWY5S1ZQa2FWNjZKS2hydnZfQklaSDFBU0NaS3E1SnZNS3Vic2k0UXlpbUwzaUZ2OENDUHhpSjhnbVhhS2Z2QU03S0gxQ1g5MjRkbTQ1UFE?oc=5,Jambi Ekspres,Positif,0.9998935461044312,netral,jambi lapang padel cetak atlet prestasi kancah nasional https jambiekspres disway id jambi ekspres
"Sirnas Padel 2026 Semarang Pecahkan Rekor, 800 Atlet Angkat Sport Tourism Jawa Tengah - Mettanews.id",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNY1puZEV5ODNOOWZOeFZMa29CSVRZN2RUbGpOTGNYWDR5V0ZPN2I1WU5Zc0V3SFk5YlIxYUNzNkhOd2hoaTRHZnd5ZmNFOEZONm14T19mOG1iRDBfM0dVUW1uLXYteDZZSkhMVzhraVBRRllwcDJ1ZGtaY0pMQkE0aGcyRW5laVJTcWtla1FfSkFZMkY4UlBrT3dZcnJWMGlRSURjUm9tSlRhUQ?oc=5,Mettanews.id,Positif,0.9998778104782104,netral,sirnas padel 2026 semarang pecah rekor 800 atlet angkat sport tourism jawa mettanews id
"Aktivitas Lapangan Padel Dianggap Mengganggu, Warga Jalan Sutami Mengadu Ke Komisi I - Dewan Perwakilan Rakyat Daerah Kota Bandung",https://news.google.com/rss/articles/CBMitwFBVV95cUxPTTF1NzQteWlCeUNqd0lfc3hvZTlPdlUxcjBBNnVMSmU4bTFYQnhtWUFCeWdfd29nYndFZ25RSmFLeVVfVENzMlQxaFVGQlN3VFFhQmRfYUFqVVBNMzhzbEFDYkRtMzNlbGQ4X1BmY29SQV92azhNelBlVGU1dWpZSHNmdHRYcjJKTWQ2WE1Semk4Z2Y5eWMxUzVPOFJUcENGNjdUM2lHUmdLN3RqZW9EOENhMVRpUm8?oc=5,Dewan Perwakilan Rakyat Daerah Kota Bandung,Negatif,0.9985369443893433,netral,lapang padel anggap ganggu warga sutami adu komisi dewan wakil rakyat bandung
"Lapangan Olahraga Padel di Meruya Selatan Roboh, Praktisi Infrastruktur Olahraga Pertanyakan Perizinanya - NasionalNews",https://news.google.com/rss/articles/CBMi3AFBVV95cUxOY3FaN3diN3dmMUpsUFM4b3N3Y3dzTnNuMHFpQ1NPaHVtSUhyUnVRZkVua0FMVjJibl9HRXNUSFptUmU2blNZbWtGOFVzOTVsV2FhRGNMcm5uNDZsQ1hoeWVKOVhLZHE5Um1mTnBIdjlEYVlUcE5lc09NZmJ4OEdEWXdseXhfdkVJMGRIWTZpcUVxeU9zOFJ6LUtsc2w2Wlg3SWg2dnlxWWszRTM3WjJtTFozZFJVeWlFOVpDMGVicHk0ZFA2eDBaaGFDZDRQVkpmTWdHSnU1VkVmVjZa?oc=5,NasionalNews,Negatif,0.9981513619422913,netral,lapang olahraga padel meruya roboh praktisi infrastruktur olahraga perizinanya nasionalnews
